key_resp.corr,key_resp.keys,tilt,,Hit,Miss,False Alarm,Correct Rejection
1,up,0,,1,,,
0,up,1,,1,,,
0,up,3,,1,,,
0,up,-5,,,1,,
1,down,-5,,,,,1
0,up,-3,,,1,,
0,up,-5,,,1,,
0,up,-5,,,1,,
0,down,0,,,1,,
1,up,0,,1,,,
0,up,3,,1,,,
0,up,2,,1,,,
0,up,3,,1,,,
1,up,0,,1,,,
0,up,-2,,,1,,
0,up,3,,1,,,
0,down,0,,,1,,
1,up,0,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,2,,1,,,
0,up,2,,1,,,
0,up,4,,1,,,
1,up,0,,1,,,
0,up,2,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
0,down,0,,,1,,
1,down,2,,,1,,
0,up,1,,1,,,
1,down,-5,,,,,1
1,up,0,,1,,,
0,up,2,,1,,,
0,down,0,,,1,,
1,up,0,,1,,,
0,up,-2,,,,1,
0,up,-2,,,,1,
0,up,1,,1,,,
1,up,0,,1,,,
0,up,4,,1,,,
0,up,-3,,,,1,
0,up,1,,1,,,
0,up,2,,1,,,
0,up,-4,,,,1,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,3,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,3,,1,,,
0,up,3,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,-2,,,,1,
1,up,0,,1,,,
0,up,-2,,,,1,
0,up,-3,,,,1,
1,up,0,,1,,,
1,down,-3,,,,,1
0,down,0,,,1,,
1,up,0,,1,,,
0,up,-3,,,,1,
0,up,-2,,,,1,
0,up,-3,,,,1,
0,up,-4,,,,1,
0,up,-2,,,,1,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,-3,,,,1,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,2,,1,,,
1,up,0,,1,,,
0,up,2,,1,,,
0,up,-3,,,,1,
1,up,0,,,,,
0,up,4,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,2,,1,,,
1,up,0,,1,,,
0,up,3,,1,,,
1,up,0,,1,,,
0,up,1,,1,,,
0,up,-5,,,,1,
1,up,0,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
0,down,0,,,1,,
1,down,-5,,,,,1
0,down,0,,,1,,
1,down,-4,,,,,1
1,down,2,,,1,,
1,down,1,,,1,,
1,down,4,,,1,,
0,down,0,,,1,,
0,down,0,,,1,,
1,down,-4,,,,,1
0,down,0,,,1,,
0,down,0,,,1,,
1,up,0,,1,,,
0,down,0,,,1,,
0,up,-4,,,,1,
0,up,3,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,2,,1,,,
1,up,0,,1,,,
0,up,-5,,,,1,
0,up,1,,1,,,
0,up,2,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,3,,1,,,
0,up,-2,,,,1,
1,up,0,,1,,,
0,up,1,,1,,,
0,down,0,,,1,,
0,down,0,,,1,,
1,up,0,,1,,,
0,up,-2,,,,1,
0,up,-4,,,,1,
0,up,2,,1,,,
0,down,0,,,1,,
1,up,0,,1,,,
1,up,0,,1,,,
0,down,0,,,1,,
0,up,1,,1,,,
0,up,4,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,-5,,,,1,
1,down,4,,,1,,
1,up,0,,1,,,
1,down,-4,,,,,1
1,up,0,,1,,,
1,up,0,,1,,,
0,up,-4,,,,1,
1,up,0,,1,,,
1,down,-3,,,,,1
0,up,-2,,,,1,
1,up,0,,1,,,
1,up,0,,1,,,
0,down,0,,,1,,
0,up,-2,,,,1,
0,up,-3,,,,1,
0,up,4,,1,,,
1,down,-4,,,,,1
0,down,0,,,1,,
0,down,0,,,1,,
1,up,0,,1,,,
1,down,3,,,,1,
0,down,0,,,,1,
0,up,-4,,,1,,
1,down,1,,,1,,
1,up,0,,1,,,
1,down,2,,1,,,
0,up,-2,,,,1,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,-4,,,,1,
1,up,0,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,2,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,-5,,,,1,
1,up,0,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,-3,,,,1,
0,up,-4,,,,1,
0,up,-4,,,,1,
1,up,0,,1,,,
0,up,-2,,,,1,
0,up,-4,,,,1,
0,up,-3,,,,1,
1,up,0,,1,,,
0,up,-4,,,,1,
0,up,3,,1,,,
1,up,0,,1,,,
0,up,1,,1,,,
1,up,0,,1,,,
1,up,0,,1,,,
0,up,-5,,,,1,
1,up,0,,1,,,
1,up,0,,1,,,
1,down,2,,,1,,
1,up,0,,1,,,
0,up,-2,,,,1,
0,up,2,,1,,,
0,down,0,,,1,,
0,up,3,,1,,,
0,up,4,,1,,,
